"","GRCODE","GRNAME","AccidentYear","DevelopmentYear","DevelopmentLag","IncurLoss_F2","CumPaidLoss_F2","BulkLoss_F2","EarnedPremDIR_F2","EarnedPremCeded_F2","EarnedPremNet_F2","Single","PostedReserve97_F2"
"119",683,"Promutual Grp",1989,1997,9,28014,27022,266,60809,0,60809,0,125868
"120",683,"Promutual Grp",1989,1998,10,27703,27039,545,60809,0,60809,0,125868
"121",683,"Promutual Grp",1990,1990,1,44843,829,25173,51806,0,51806,0,125868
"122",683,"Promutual Grp",1990,1991,2,40405,2943,17071,51806,0,51806,0,125868
"123",683,"Promutual Grp",1990,1992,3,38517,9327,9290,51806,0,51806,0,125868
"124",683,"Promutual Grp",1990,1993,4,29661,14676,6658,51806,0,51806,0,125868
"125",683,"Promutual Grp",1990,1994,5,23559,18355,242,51806,0,51806,0,125868
"126",683,"Promutual Grp",1990,1995,6,23269,19650,1028,51806,0,51806,0,125868
"127",683,"Promutual Grp",1990,1996,7,22813,19820,922,51806,0,51806,0,125868
"128",683,"Promutual Grp",1990,1997,8,22594,20199,809,51806,0,51806,0,125868
"129",683,"Promutual Grp",1990,1998,9,21804,20312,1098,51806,0,51806,0,125868
"130",683,"Promutual Grp",1990,1999,10,20984,20374,373,51806,0,51806,0,125868
"131",683,"Promutual Grp",1991,1991,1,40715,1658,18836,44101,0,44101,0,125868
"132",683,"Promutual Grp",1991,1992,2,44679,6121,9876,44101,0,44101,0,125868
"133",683,"Promutual Grp",1991,1993,3,35510,11419,-1231,44101,0,44101,0,125868
"134",683,"Promutual Grp",1991,1994,4,33872,16512,-4656,44101,0,44101,0,125868
"135",683,"Promutual Grp",1991,1995,5,32713,24338,-178,44101,0,44101,0,125868
"136",683,"Promutual Grp",1991,1996,6,30871,25625,1065,44101,0,44101,0,125868
"137",683,"Promutual Grp",1991,1997,7,28734,26041,-45,44101,0,44101,0,125868
"138",683,"Promutual Grp",1991,1998,8,30627,28735,-64,44101,0,44101,0,125868
"139",683,"Promutual Grp",1991,1999,9,30151,28772,-571,44101,0,44101,0,125868
"140",683,"Promutual Grp",1991,2000,10,30413,28805,48,44101,0,44101,0,125868
"141",683,"Promutual Grp",1992,1992,1,55743,518,34350,29242,0,29242,0,125868
"142",683,"Promutual Grp",1992,1993,2,44309,5166,14157,29242,0,29242,0,125868
"143",683,"Promutual Grp",1992,1994,3,33884,9775,-2534,29242,0,29242,0,125868
"144",683,"Promutual Grp",1992,1995,4,29723,16649,-3465,29242,0,29242,0,125868
"145",683,"Promutual Grp",1992,1996,5,30954,20587,-1629,29242,0,29242,0,125868
"146",683,"Promutual Grp",1992,1997,6,27665,23465,-747,29242,0,29242,0,125868
"147",683,"Promutual Grp",1992,1998,7,27067,24508,-685,29242,0,29242,0,125868
"148",683,"Promutual Grp",1992,1999,8,26018,24979,-155,29242,0,29242,0,125868
"149",683,"Promutual Grp",1992,2000,9,25603,25453,-100,29242,0,29242,0,125868
"150",683,"Promutual Grp",1992,2001,10,25666,25531,135,29242,0,29242,0,125868
"151",683,"Promutual Grp",1993,1993,1,49446,1850,33281,26379,0,26379,0,125868
"152",683,"Promutual Grp",1993,1994,2,30760,5076,5462,26379,0,26379,0,125868
"153",683,"Promutual Grp",1993,1995,3,27841,7974,-1886,26379,0,26379,0,125868
"154",683,"Promutual Grp",1993,1996,4,37179,18872,-4854,26379,0,26379,0,125868
"155",683,"Promutual Grp",1993,1997,5,35687,29528,-3514,26379,0,26379,0,125868
"156",683,"Promutual Grp",1993,1998,6,35936,33034,-3617,26379,0,26379,0,125868
"157",683,"Promutual Grp",1993,1999,7,37005,35005,-1119,26379,0,26379,0,125868
"158",683,"Promutual Grp",1993,2000,8,38270,37073,-100,26379,0,26379,0,125868
"159",683,"Promutual Grp",1993,2001,9,38382,37144,188,26379,0,26379,0,125868
"160",683,"Promutual Grp",1993,2002,10,37760,37326,24,26379,0,26379,0,125868
"161",683,"Promutual Grp",1994,1994,1,33465,1064,14043,25343,0,25343,0,125868
"162",683,"Promutual Grp",1994,1995,2,32438,6647,2471,25343,0,25343,0,125868
"163",683,"Promutual Grp",1994,1996,3,38458,13035,-1797,25343,0,25343,0,125868
"164",683,"Promutual Grp",1994,1997,4,37845,21891,-2921,25343,0,25343,0,125868
"165",683,"Promutual Grp",1994,1998,5,35062,29199,-5242,25343,0,25343,0,125868
"166",683,"Promutual Grp",1994,1999,6,36552,33047,-2505,25343,0,25343,0,125868
"167",683,"Promutual Grp",1994,2000,7,36388,34699,271,25343,0,25343,0,125868
"168",683,"Promutual Grp",1994,2001,8,36294,35500,2,25343,0,25343,0,125868
"169",683,"Promutual Grp",1994,2002,9,36371,36097,-23,25343,0,25343,0,125868
"170",683,"Promutual Grp",1994,2003,10,36409,36154,205,25343,0,25343,0,125868
"171",683,"Promutual Grp",1995,1995,1,32837,703,16159,26661,265,26396,0,125868
"172",683,"Promutual Grp",1995,1996,2,32449,4803,6908,26661,265,26396,0,125868
"173",683,"Promutual Grp",1995,1997,3,34650,10388,2708,26661,265,26396,0,125868
"174",683,"Promutual Grp",1995,1998,4,30941,17420,-2222,26661,265,26396,0,125868
"175",683,"Promutual Grp",1995,1999,5,28954,21629,-3019,26661,265,26396,0,125868
"176",683,"Promutual Grp",1995,2000,6,29424,26032,-970,26661,265,26396,0,125868
"177",683,"Promutual Grp",1995,2001,7,28768,28087,-269,26661,265,26396,0,125868
"178",683,"Promutual Grp",1995,2002,8,28557,28467,-300,26661,265,26396,0,125868
"179",683,"Promutual Grp",1995,2003,9,29521,29132,269,26661,265,26396,0,125868
"180",683,"Promutual Grp",1995,2004,10,29500,29147,233,26661,265,26396,0,125868
"181",683,"Promutual Grp",1996,1996,1,34711,796,19602,28215,915,27300,0,125868
"182",683,"Promutual Grp",1996,1997,2,31935,3143,10182,28215,915,27300,0,125868
"183",683,"Promutual Grp",1996,1998,3,27963,7196,-2076,28215,915,27300,0,125868
"184",683,"Promutual Grp",1996,1999,4,25959,14290,-8605,28215,915,27300,0,125868
"185",683,"Promutual Grp",1996,2000,5,29673,24606,-3699,28215,915,27300,0,125868
"186",683,"Promutual Grp",1996,2001,6,31900,30148,-1894,28215,915,27300,0,125868
"187",683,"Promutual Grp",1996,2002,7,33123,31099,-789,28215,915,27300,0,125868
"188",683,"Promutual Grp",1996,2003,8,31773,31963,-1266,28215,915,27300,0,125868
"189",683,"Promutual Grp",1996,2004,9,33051,32489,-239,28215,915,27300,0,125868
"190",683,"Promutual Grp",1996,2005,10,32644,32659,-16,28215,915,27300,0,125868
"191",683,"Promutual Grp",1997,1997,1,34107,556,21084,24114,1395,22719,0,125868
"192",683,"Promutual Grp",1997,1998,2,29536,3283,9319,24114,1395,22719,0,125868
"193",683,"Promutual Grp",1997,1999,3,26174,6505,1093,24114,1395,22719,0,125868
"194",683,"Promutual Grp",1997,2000,4,24997,12970,-508,24114,1395,22719,0,125868
"195",683,"Promutual Grp",1997,2001,5,26237,18850,-1605,24114,1395,22719,0,125868
"196",683,"Promutual Grp",1997,2002,6,28330,23259,-1813,24114,1395,22719,0,125868
"197",683,"Promutual Grp",1997,2003,7,30665,26116,-581,24114,1395,22719,0,125868
"198",683,"Promutual Grp",1997,2004,8,29690,28810,-155,24114,1395,22719,0,125868
"199",683,"Promutual Grp",1997,2005,9,29928,29193,60,24114,1395,22719,0,125868
"200",683,"Promutual Grp",1997,2006,10,29676,29292,159,24114,1395,22719,0,125868
"201",841,"Great Amer Grp",1988,1988,1,0,0,0,0,0,0,0,1770
"202",841,"Great Amer Grp",1988,1989,2,0,0,0,0,0,0,0,1770
"203",841,"Great Amer Grp",1988,1990,3,0,0,0,0,0,0,0,1770
"204",841,"Great Amer Grp",1988,1991,4,0,0,0,0,0,0,0,1770
"205",841,"Great Amer Grp",1988,1992,5,0,0,0,0,0,0,0,1770
"206",841,"Great Amer Grp",1988,1993,6,0,0,0,0,0,0,0,1770
"207",841,"Great Amer Grp",1988,1994,7,0,0,0,0,0,0,0,1770
"208",841,"Great Amer Grp",1988,1995,8,0,0,0,0,0,0,0,1770
"209",841,"Great Amer Grp",1988,1996,9,0,0,0,0,0,0,0,1770
"210",841,"Great Amer Grp",1988,1997,10,0,0,0,0,0,0,0,1770
"211",841,"Great Amer Grp",1989,1989,1,0,0,0,0,0,0,0,1770
"212",841,"Great Amer Grp",1989,1990,2,0,0,0,0,0,0,0,1770
"213",841,"Great Amer Grp",1989,1991,3,0,0,0,0,0,0,0,1770
"214",841,"Great Amer Grp",1989,1992,4,0,0,0,0,0,0,0,1770
"215",841,"Great Amer Grp",1989,1993,5,0,0,0,0,0,0,0,1770
"216",841,"Great Amer Grp",1989,1994,6,0,0,0,0,0,0,0,1770
"217",841,"Great Amer Grp",1989,1995,7,0,0,0,0,0,0,0,1770
"218",841,"Great Amer Grp",1989,1996,8,0,0,0,0,0,0,0,1770
"219",841,"Great Amer Grp",1989,1997,9,0,0,0,0,0,0,0,1770
"220",841,"Great Amer Grp",1989,1998,10,0,0,0,0,0,0,0,1770
"221",841,"Great Amer Grp",1990,1990,1,0,0,0,0,0,0,0,1770
"222",841,"Great Amer Grp",1990,1991,2,0,0,0,0,0,0,0,1770
"223",841,"Great Amer Grp",1990,1992,3,0,0,0,0,0,0,0,1770
"224",841,"Great Amer Grp",1990,1993,4,0,0,0,0,0,0,0,1770
"225",841,"Great Amer Grp",1990,1994,5,0,0,0,0,0,0,0,1770
"226",841,"Great Amer Grp",1990,1995,6,0,0,0,0,0,0,0,1770
"227",841,"Great Amer Grp",1990,1996,7,0,0,0,0,0,0,0,1770
"228",841,"Great Amer Grp",1990,1997,8,0,0,0,0,0,0,0,1770
"229",841,"Great Amer Grp",1990,1998,9,0,0,0,0,0,0,0,1770
"230",841,"Great Amer Grp",1990,1999,10,0,0,0,0,0,0,0,1770
"231",841,"Great Amer Grp",1991,1991,1,0,0,0,0,0,0,0,1770
"232",841,"Great Amer Grp",1991,1992,2,0,0,0,0,0,0,0,1770
"233",841,"Great Amer Grp",1991,1993,3,0,0,0,0,0,0,0,1770
"234",841,"Great Amer Grp",1991,1994,4,0,0,0,0,0,0,0,1770
"235",841,"Great Amer Grp",1991,1995,5,0,0,0,0,0,0,0,1770
"236",841,"Great Amer Grp",1991,1996,6,0,0,0,0,0,0,0,1770
"237",841,"Great Amer Grp",1991,1997,7,0,0,0,0,0,0,0,1770
"238",841,"Great Amer Grp",1991,1998,8,0,0,0,0,0,0,0,1770
"239",841,"Great Amer Grp",1991,1999,9,0,0,0,0,0,0,0,1770
"240",841,"Great Amer Grp",1991,2000,10,0,0,0,0,0,0,0,1770
"241",841,"Great Amer Grp",1992,1992,1,0,0,0,0,0,0,0,1770
"242",841,"Great Amer Grp",1992,1993,2,0,0,0,0,0,0,0,1770
"243",841,"Great Amer Grp",1992,1994,3,0,0,0,0,0,0,0,1770
"244",841,"Great Amer Grp",1992,1995,4,0,0,0,0,0,0,0,1770
"245",841,"Great Amer Grp",1992,1996,5,0,0,0,0,0,0,0,1770
"246",841,"Great Amer Grp",1992,1997,6,0,0,0,0,0,0,0,1770
"247",841,"Great Amer Grp",1992,1998,7,0,0,0,0,0,0,0,1770
"248",841,"Great Amer Grp",1992,1999,8,0,0,0,0,0,0,0,1770
"249",841,"Great Amer Grp",1992,2000,9,0,0,0,0,0,0,0,1770
"250",841,"Great Amer Grp",1992,2001,10,0,0,0,0,0,0,0,1770
"251",841,"Great Amer Grp",1993,1993,1,0,0,0,0,0,0,0,1770
"252",841,"Great Amer Grp",1993,1994,2,0,0,0,0,0,0,0,1770
"253",841,"Great Amer Grp",1993,1995,3,0,0,0,0,0,0,0,1770
"254",841,"Great Amer Grp",1993,1996,4,0,0,0,0,0,0,0,1770
"255",841,"Great Amer Grp",1993,1997,5,0,0,0,0,0,0,0,1770
"256",841,"Great Amer Grp",1993,1998,6,0,0,0,0,0,0,0,1770
"257",841,"Great Amer Grp",1993,1999,7,0,0,0,0,0,0,0,1770
"258",841,"Great Amer Grp",1993,2000,8,0,0,0,0,0,0,0,1770
"259",841,"Great Amer Grp",1993,2001,9,0,0,0,0,0,0,0,1770
"260",841,"Great Amer Grp",1993,2002,10,0,0,0,0,0,0,0,1770
"261",841,"Great Amer Grp",1994,1994,1,470,9,0,774,179,595,0,1770
"262",841,"Great Amer Grp",1994,1995,2,751,81,0,774,179,595,0,1770
"263",841,"Great Amer Grp",1994,1996,3,788,715,0,774,179,595,0,1770
"264",841,"Great Amer Grp",1994,1997,4,1183,772,0,774,179,595,0,1770
"265",841,"Great Amer Grp",1994,1998,5,819,789,0,774,179,595,0,1770
"266",841,"Great Amer Grp",1994,1999,6,830,800,0,774,179,595,0,1770
"267",841,"Great Amer Grp",1994,2000,7,830,800,0,774,179,595,0,1770
"268",841,"Great Amer Grp",1994,2001,8,830,800,0,774,179,595,0,1770
"269",841,"Great Amer Grp",1994,2002,9,830,800,0,774,179,595,0,1770
"270",841,"Great Amer Grp",1994,2003,10,830,800,0,774,179,595,0,1770
"271",841,"Great Amer Grp",1995,1995,1,827,207,0,1762,439,1323,0,1770
"272",841,"Great Amer Grp",1995,1996,2,1031,370,0,1762,439,1323,0,1770
"273",841,"Great Amer Grp",1995,1997,3,1277,865,0,1762,439,1323,0,1770
"274",841,"Great Amer Grp",1995,1998,4,988,924,0,1762,439,1323,0,1770
"275",841,"Great Amer Grp",1995,1999,5,949,945,0,1762,439,1323,0,1770
"276",841,"Great Amer Grp",1995,2000,6,949,945,0,1762,439,1323,0,1770
"277",841,"Great Amer Grp",1995,2001,7,949,945,0,1762,439,1323,0,1770
"278",841,"Great Amer Grp",1995,2002,8,949,945,0,1762,439,1323,0,1770
"279",841,"Great Amer Grp",1995,2003,9,949,945,0,1762,439,1323,0,1770
"280",841,"Great Amer Grp",1995,2004,10,949,945,0,1762,439,1323,0,1770
"281",841,"Great Amer Grp",1996,1996,1,900,38,0,424,111,313,0,1770
"282",841,"Great Amer Grp",1996,1997,2,1026,79,0,424,111,313,0,1770
"283",841,"Great Amer Grp",1996,1998,3,767,767,0,424,111,313,0,1770
"284",841,"Great Amer Grp",1996,1999,4,759,759,0,424,111,313,0,1770
"285",841,"Great Amer Grp",1996,2000,5,754,754,0,424,111,313,0,1770
"286",841,"Great Amer Grp",1996,2001,6,754,754,0,424,111,313,0,1770
"287",841,"Great Amer Grp",1996,2002,7,754,754,0,424,111,313,0,1770
"288",841,"Great Amer Grp",1996,2003,8,754,754,0,424,111,313,0,1770
"289",841,"Great Amer Grp",1996,2004,9,754,754,0,424,111,313,0,1770
"290",841,"Great Amer Grp",1996,2005,10,754,754,0,424,111,313,0,1770
"291",841,"Great Amer Grp",1997,1997,1,0,0,0,30,7,23,0,1770
"292",841,"Great Amer Grp",1997,1998,2,-10,-10,0,30,7,23,0,1770
"293",841,"Great Amer Grp",1997,1999,3,2,2,0,30,7,23,0,1770
"294",841,"Great Amer Grp",1997,2000,4,8,8,0,30,7,23,0,1770
"295",841,"Great Amer Grp",1997,2001,5,8,8,0,30,7,23,0,1770
"296",841,"Great Amer Grp",1997,2002,6,8,8,0,30,7,23,0,1770
"297",841,"Great Amer Grp",1997,2003,7,9,9,0,30,7,23,0,1770
"298",841,"Great Amer Grp",1997,2004,8,9,9,0,30,7,23,0,1770
"299",841,"Great Amer Grp",1997,2005,9,9,9,0,30,7,23,0,1770
"300",841,"Great Amer Grp",1997,2006,10,9,9,0,30,7,23,0,1770
"301",1406,"Nationwide Grp",1988,1988,1,0,0,0,0,0,0,0,882
"302",1406,"Nationwide Grp",1988,1989,2,0,0,0,0,0,0,0,882
"303",1406,"Nationwide Grp",1988,1990,3,0,0,0,0,0,0,0,882
"304",1406,"Nationwide Grp",1988,1991,4,0,0,0,0,0,0,0,882
"305",1406,"Nationwide Grp",1988,1992,5,0,0,0,0,0,0,0,882
"306",1406,"Nationwide Grp",1988,1993,6,0,0,0,0,0,0,0,882
"307",1406,"Nationwide Grp",1988,1994,7,0,0,0,0,0,0,0,882
"308",1406,"Nationwide Grp",1988,1995,8,0,0,0,0,0,0,0,882
"309",1406,"Nationwide Grp",1988,1996,9,0,0,0,0,0,0,0,882
"310",1406,"Nationwide Grp",1988,1997,10,0,0,0,0,0,0,0,882
